model,repeat,fold,roc_auc,pr_auc,f1,balanced_accuracy,threshold
random_forest,2,0,0.9919354838709677,0.9994959677419355,0.991869918699187,0.9919354838709677,0.626
random_forest,2,1,0.8016393442622951,0.9540408715045483,0.9672131147540983,0.7836065573770492,0.682
random_forest,2,2,0.9967213114754099,0.9997355896351138,0.9747899159663865,0.9754098360655737,0.674
random_forest,2,3,0.9475409836065574,0.9955114419525457,0.9672131147540983,0.7836065573770492,0.654
random_forest,2,4,0.9959677419354839,0.9997439836149513,0.9838709677419355,0.8669354838709677,0.664
random_forest,3,0,1.0,1.0,0.9833333333333333,0.9836065573770492,0.672
random_forest,3,1,0.9655737704918033,0.9968858043176514,0.9752066115702479,0.8836065573770492,0.642
random_forest,3,2,0.7399193548387097,0.9446970062253534,0.9672131147540983,0.8508064516129032,0.648
random_forest,3,3,0.9803278688524589,0.9984117334125904,0.9836065573770492,0.8918032786885246,0.658
random_forest,3,4,1.0,1.0,0.9752066115702479,0.9758064516129032,0.68
random_forest,4,0,1.0,0.9999999999999999,1.0,1.0,0.656
random_forest,4,1,1.0,1.0,1.0,1.0,0.658
random_forest,4,2,0.7701612903225806,0.9683363011015513,0.975609756097561,0.8588709677419355,0.652
random_forest,4,3,0.9901639344262295,0.9991936206303659,0.9666666666666667,0.8754098360655738,0.672
random_forest,4,4,0.9245901639344262,0.9929368441040674,0.957983193277311,0.8672131147540985,0.658
xgboost,0,0,0.9919354838709677,0.9994959677419355,0.991869918699187,0.9919354838709677,0.5825807452201843
xgboost,0,1,1.0,1.0,0.9917355371900827,0.9918032786885246,0.5990952849388123
xgboost,0,2,1.0,1.0,0.9841269841269841,0.75,0.3807176947593689
xgboost,0,3,1.0,1.0,0.9661016949152542,0.9672131147540983,0.6122270822525024
xgboost,0,4,0.9278688524590164,0.9928877073951414,0.9836065573770492,0.8918032786885246,0.42752552032470703
xgboost,1,0,1.0,1.0,1.0,1.0,0.5372669100761414
xgboost,1,1,0.7983870967741935,0.9767575662243271,0.9841269841269841,0.75,0.3380778729915619
xgboost,1,2,0.9934426229508198,0.9994668446740818,0.9836065573770492,0.8918032786885246,0.508212685585022
xgboost,1,3,1.0,1.0,1.0,1.0,0.4355882406234741
xgboost,1,4,0.9836065573770493,0.9986331201081902,0.991869918699187,0.9,0.5050137639045715
xgboost,2,0,0.9758064516129032,0.9983991501730094,0.975609756097561,0.8588709677419355,0.5900319218635559
xgboost,2,1,0.9245901639344263,0.9924778713295676,0.9838709677419355,0.8,0.5073280930519104
xgboost,2,2,1.0,1.0,0.9833333333333333,0.9836065573770492,0.5685838460922241
xgboost,2,3,0.9836065573770493,0.9987224278006326,0.975609756097561,0.7918032786885245,0.36773696541786194
xgboost,2,4,1.0,1.0,0.9836065573770492,0.9838709677419355,0.5763542056083679
xgboost,3,0,1.0,1.0,0.9917355371900827,0.9918032786885246,0.5986869931221008
xgboost,3,1,0.9836065573770493,0.9986331201081902,0.991869918699187,0.9,0.42837727069854736
xgboost,3,2,0.8971774193548387,0.9919906214471368,0.9841269841269841,0.75,0.31871911883354187
xgboost,3,3,0.9934426229508198,0.9994668446740818,0.9836065573770492,0.8918032786885246,0.5837132930755615
xgboost,3,4,1.0,1.0,1.0,1.0,0.5974472761154175
xgboost,4,0,1.0,1.0,0.991869918699187,0.9919354838709677,0.6349753141403198
xgboost,4,1,1.0,1.0,1.0,1.0,0.5771071314811707
xgboost,4,2,0.7681451612903225,0.9589722933224097,0.9841269841269841,0.75,0.3443838357925415
xgboost,4,3,1.0,1.0,0.9917355371900827,0.9918032786885246,0.5658564567565918
xgboost,4,4,0.9737704918032788,0.9977547132116642,0.9836065573770492,0.8918032786885246,0.39644867181777954
